NETWORK_ID,ROUTE_NOS,lng,lat
7202,"11,15,26,30,30X,34,36,37,51B,56,72,AP1,MT3,N2,N5",,
7200,"102,11,21A,22,25,25AX,25B,26A,28A,33,35,36,37,39,50,50B,72,MT1,MT4,MT5,N3,N5,N6",,
7213,"102,11,15,21A,22,25,25AX,25B,26A,28A,33,37,50,50B,72,MT1,MT4,N3,N6",,
7223,"102,11,15,21A,22,25,25AX,25B,26,26A,28A,30,30X,33,34,35,36,37,50,50B,56,72,MT1,MT3,MT4,MT5,N2,N3,N5,N6",,
7242,"102,11,22,25B,26,26A,28A,30,33,34,35,36,37,72,MT1,MT3,MT5,N2,N5",,
7239,"15,21A,25,25AX,36,50,50B,51B,56,AP1,MT4,N2,N3,N5,N6",,
7244,"21A,25,25AX,36,50,50B,51B,56,AP1,MT4,MT5,N2,N3,N5,N6",,
7247,"102,11,15,22,25B,26,26A,28A,30,33,34,35,37,72,MT1,MT3",,
7248,"11,15,22,28A,30,33,34",,
7245,"102,25B,26,26A,35,37,72,MT1,MT3",,
7249,"102,11,15,21A,22,25,25AX,25B,26,26A,28A,30,30X,33,34,35,36,37,39,50,50B,51B,56,72,AP1,MT1,MT3,MT4,MT5,N2,N3,N5,N6",,
